Date,Close,High,Low,Open,Volume,Ticker,"('Date', '')","('Close', 'AAPL')","('High', 'AAPL')","('Low', 'AAPL')","('Open', 'AAPL')","('Volume', 'AAPL')","('Ticker', '')"
,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,
2025-04-01,223.19000244140625,223.67999267578125,218.89999389648438,219.80999755859375,36412700,AAPL,,,,,,,
2025-04-02,223.88999938964844,225.19000244140625,221.02000427246094,221.32000732421875,35905900,AAPL,,,,,,,
2025-04-03,203.19000244140625,207.49000549316406,201.25,205.5399932861328,103419000,AAPL,,,,,,,
2025-04-04,188.3800048828125,199.8800048828125,187.33999633789062,193.88999938964844,125910900,AAPL,,,,,,,
